东方艺术中心 , 浦东新区丁香路425号
凯迪拉克·上海音乐厅 , 黄浦区延安东路523号
上海大剧院 , 黄浦区人民大道300号
黄浦剧场 , 黄浦区北京东路780号
上海保利大剧院 , 上海市嘉定区白银路159号
美琪大戏院 , 静安区江宁路66号（近南京西路）
上海交响乐团音乐厅 , 徐汇区复兴中路1380号(近宝庆路)
小伙伴剧场 , 上海市延安西路64号中福会少年宫新大楼4楼
人民大舞台 , 黄浦区九江路663号上海亚洲大厦三至六层
上海商城剧院 , 静安区南京西路1376号（上海商城内）
上海梅赛德斯-奔驰文化中心 , 上海市浦东新区世博大道1200号
上海国际舞蹈中心 , 上海市长宁区虹桥路1650号(水城路地铁站)
兰心大戏院 , 卢湾区茂名南路57号
1862时尚艺术中心 , 滨江大道1777号
ET聚场（原上海共舞台） , 上海市黄浦区延安东路433号
MAO LIVEHOUSE SHANGHAI , 上海黄浦区重庆南路308号3楼(近建国中路)
虹桥艺术中心剧院 , 长宁区天山路888号
浦东新舞台 , 上海市浦东新区浦东大道143号
上海虹口足球场（虹口体育场） , 东江湾路444号
云峰剧院 , 静安区北京西路1700号
彩色熊猫剧场（世博源3区G层） , 上海世博源3区G层
中国福利会儿童艺术剧院马兰花剧场 , 华山路643号
上海戏剧学院 , 上海市华山路630号
上海展览中心 , 静安区延安中路1000号
上海仙乐斯演艺厅 , 上海市南京西路388号仙乐斯广场5楼近黄陂北路
国家会展中心（上海）虹馆EH , 崧泽大道333号（西虹桥商务区）
上海新国际博览中心 , 浦东新区龙阳路2345号（近芳甸路）
中国大戏院 , 黄浦区牛庄路704号（近广西北路）
虹口区工人文体中心（梦境剧场） , 上海市虹口区飞虹路528号虹口区工人文体活动中心
Modern Sky LAB 上海 , 虹口区瑞虹路188号瑞虹天地月亮湾3F
The Mixing Room 音乐俱乐部 , 上海市浦东新区世博大道1200号(梅赛德斯-奔驰文化中心B1层)
1933老场坊 , 上海市虹口区溧阳路611号1933老场坊
万代南梦宫文化中心（原上海浅水湾文化艺术中心 ） , 上海市普陀区宜昌路179号
上海大宁剧院 , 上海市闸北区平型关路1222号
新光小剧场 , 黄浦区宁波路586号
宝山体育中心 , 永清路700号
申乐大厦 , 上海市静安区愚园路300号
上海虹桥艺术中心 , 上海市长宁区天山路888号
乱博士疯狂戏剧城 , 殷行路1388号R6栋L217
上海儿童艺术剧场(上汽荣威) , 黄浦区苗江路800号
丁香国际商业中心 , 丁香路858号
八号桥艺术空间1908粮仓 , 南苏州路1247号
比高电影城（锦绣店） , 锦绣路2486弄7号地下一层
比高电影城（古北店） , 古北路1699号地下一层
上海育音堂音乐公园 , 上海市长宁区愚园路1398号地下一层B1-02
珍珠剧场 , 乍浦路471弄（近武进路，地铁10号线四川北路站2号口出100米）
上海世博源 , 浦东新区上南路168号
奥迪国际赛车场（上海国际赛车场） , 嘉定区伊宁路2000号(近嘉定汽车城)
上海大悦城 , 西藏北路166号
上海跨国采购会展中心 , 上海市普陀区光复西路2739号
巨影国际影城 , 吴中路52号7楼
豫园·海上梨园 , 上海豫园文昌路10号和丰楼4楼
上海新天地 , 上海市黄浦区湖滨路150号近济南路（湖滨道购物中心）
上海环球金融中心 , 上海市浦东新区世纪大道100号
华特迪士尼大剧院 , 上海市浦东新区川南奉公路971号迪斯尼度假区内
上海杜若云章画廊 , 上海市永嘉路498号，近岳阳路
大宁郁金香公园 , 静安区广中西路288号
奇思妙想的时空洞 , 安龙路527号
chi K11美术馆 , 上海市淮海中路300号上海K11购物艺术中心B3层
上海天马赛车场 , 上海市松江区佘山镇
上海环球港 , 中山北路3300号
金山体育中心 , 金山区松卫南路1700号
环球奇趣体验馆 , 上海市黄浦区旧校场路69号
上海新世界大丸百货 , 南京东路228号
MODERN SKY LAB , MODERN SKY LAB
三林世博文化中心（三林影剧院） , 杨新路61号（近上南路）
子约亲子剧场 , 遵义路100号南丰城商场南区M层
相爷府茶楼 , 方浜中路235号豫安阁4楼(近安仁街)
盈艺术中心 , 莫干山路97号
上海文艺会堂 , 延安西路200号
新华联大厦 B1 , 淮海中路775号（近瑞金二路，麦当劳入口处）
翼树空间 , 世博大道1368号世博源2区F1层
上海玻璃博物馆 , 长江西路685号
GIR沉浸式主题游戏馆 , 东安路562号绿地缤纷城西区BM层(地铁7号线5号出口)
立秀宝儿童社会体验英语小镇 , 新江湾城殷行路1286号悠方购物公园1-2层，入口大厅位于2层
捕梦人的后花园 , 斜土路2200弄8号
上海当代艺术馆 , 南京西路231号人民公园7号门(近黄陂北路)
比高电影院（宝山店） , 通河路533弄2号第3层
明珠美术馆 , 虹井路120弄新华红星国际广场6号8层
上海漫趣酒店 , 川沙路4518号
复星艺术中心 , 中山东二路600号
上海光大展览中心 , 徐汇区漕宝路66-88号
上海佘山国际高尔夫俱乐部 , 松江区佘山国家旅游度假区林荫新路288弄
贺绿汀音乐厅 , 卢湾区汾阳路20号（近淮海中路）
上海戏剧学院-端钧剧场 , 静安区华山路630号
乡音书苑 , 静安区南京西路860弄1~4号
新光影艺苑 , 黄浦区宁波路586号
上海东方体育中心 , 黄浦江东、川杨河南、济阳路西以及规划路北侧
金山城市沙滩 , 金山区南端，杭州湾北岸
上海木偶剧团仙乐斯演艺厅 , 上海市静安区南京西路388号仙乐斯广场5楼
创智梦剧场 , 上海市杨浦区淞沪路388号创智天地广场7号楼一层
上海交响乐团演奏厅 , 徐汇区湖南路105号（近武康路）
上海喜玛拉雅中心 , 浦东新区芳甸路1188号（梅花路口）
上海旗忠森林体育城网球中心 , 上海闵行区马桥镇
