东方艺术中心 , 浦东新区丁香路425号 , 东方艺术中心宛如一朵白色的莲花，盛开在葱茏的绿树之间，与上海大剧院遥相呼应，构架起一座属于上海的艺术桥梁。从高处俯瞰，五个半球体依次为：正厅入口、东方演奏厅、东方音乐厅、展览厅、东方歌剧院。它们犹如五片绽放的花瓣，组成了一朵硕大美丽的“蝴蝶兰”。建筑顶部安装了融入高科技的880多盏嵌入式顶灯，当美妙的旋律在音乐厅奏响时，灯光会随旋律起伏变幻，将夜色中的东方艺术中心变得璀璨奇异、充满动感。,,,
凯迪拉克·上海音乐厅 , 黄浦区延安东路523号 , 上海音乐厅建于1930年，原名南京大戏院，于当年3月26日开幕，是上海第一座由华人建筑设计师设计的具西欧古典风格的建筑，属国家近代优秀建筑文物保护单位。休息大厅十六根合抱的赭色大理石圆柱气度不凡，观众厅的构图简洁规范，复杂又不显零乱，富有层次变化，色彩庄重淡雅，与其演绎的古典音乐有着惊人的统一。1959年后的数十年中，一直是上海音乐活动的中心之一，历届上海之春音乐节、国际广播音乐节都以此为中心场所...,,,
上海大剧院 , 黄浦区人民大道300号 , 上海大剧院座落于上海市人民广场，由法国夏邦杰建筑设计公司设计，整个建筑宛如音符串织而成的水晶宫殿。总建筑面积70000平方米，总高度40米，内设大、中、小三个剧场（观众席分别为1800席、600席和300席）。大剧院的外观由透明的水平墙面，有韵律的垂直线条，有乐感的弯曲面屋顶来体现，以水、玻璃、光线，通过透明、流畅的线条，朴实有力的造型，多功能形体和技术空间的组合来突出都市理想，贯彻其设计构思。剧...,,,
美琪大戏院 , 静安区江宁路66号（近南京西路） , 美琪大戏院地处繁荣的南京路江宁路口，美琪大戏院是上海市近代优秀建筑，它典雅、独特的风格，融合现代与古典建筑美之精华，入口处圆形巨塔，气势磅礴，大型水晶吊灯灿烂缤纷，大、小两座灯光喷泉流光溢彩，青铜艺术雕塑造型典雅，观众休息大厅视觉富丽庄重，宏伟壮观，观众厅座位总数1328座。,,,
上海交响乐团音乐厅 , 徐汇区复兴中路1380号(近宝庆路) , 上海交响乐团音乐厅位于复兴中路1380号，建筑面积为19950平方米，由1200座演奏厅和400座的室内乐演奏厅组成。上海交响乐团音乐厅由世界级大师矶崎新和丰田泰久领衔设，是国内第一个建在弹簧上的“全浮建筑。上海交响乐团音乐厅运用最先进的多媒体技术，大厅内10个反声板可以同时投影画面，与世界各地任何场地进行双向传输同步演出。室内乐演奏厅同时兼具3D录音棚功能，弥补上海没有大型专业交响乐队录音棚的空...,,,
小伙伴剧场 , 上海市延安西路64号中福会少年宫新大楼4楼 , 上海小伙伴剧场位于中国福利会少年宫综合活动楼4-5层，建筑面积396平方米，舞台高度为9.84米，台口宽11米，舞台深9.230米。剧场楼上楼下可同时容纳326名小观众。剧场具备专业的舞台、灯光，一流的音响设备与雅致的内饰装潢。作为少儿文化交流的平台，小伙伴剧场周周推出少年儿童喜闻乐见的亲子专场演出。同时，剧场还提供最新、最好的少儿电影、动画片、儿童剧、杂技等，让小朋友们大饱眼福。作为少年宫少儿文...,,,
人民大舞台 , 黄浦区九江路663号上海亚洲大厦三至六层 , 上海人民大舞台剧场位于上海市九江路663号上海亚洲大厦三至六层，为秉承大舞台百年历史，使这座蕴藏深厚人文气息，名扬海内外的剧场重新焕发新的光彩，发展商全方位精心策划，力求打造出一个全新独特、完美超前的大舞台。从舞台设备工艺的超前设计，可见其独具前瞻性的眼光。,,,
上海商城剧院 , 静安区南京西路1376号（上海商城内） , 上海商城剧院拥有完备的声、光设备，舞台面积153平方米；大厅能容纳991位观众，以美国百老汇的马昆斯剧院为蓝本建设的，以其齐全的设施为各种文艺形式，包括话剧，歌剧、芭蕾舞剧、交响音乐会等提供演出的场所。,,,
上海国际舞蹈中心 , 上海市长宁区虹桥路1650号(水城路地铁站) , 上海国际舞蹈中心是上海目前唯一一座专属于舞蹈的文化场所，坐落于上海中心城区长宁区虹桥路，紧挨延虹绿地。上海国际舞蹈中心拥有一个座席数1080座的大剧场和一个300座的合成排演厅（小剧场），并聚集了上海芭蕾舞团、上海歌舞团、上海戏剧学院舞蹈学院、上海舞蹈学校入驻。,,,
于2016年10月正式对民众开放。,,,,,
