东方艺术中心 , 浦东新区丁香路425号 , 
凯迪拉克·上海音乐厅 , 黄浦区延安东路523号 , 
上海大剧院 , 黄浦区人民大道300号 , 
黄浦剧场 , 黄浦区北京东路780号 , 
上海保利大剧院 , 上海市嘉定区白银路159号 , 
上海交响乐团音乐厅 , 徐汇区复兴中路1380号(近宝庆路) , 
美琪大戏院 , 静安区江宁路66号（近南京西路） , 
小伙伴剧场 , 上海市延安西路64号中福会少年宫新大楼4楼 , 
上海商城剧院 , 静安区南京西路1376号（上海商城内） , 
人民大舞台 , 黄浦区九江路663号上海亚洲大厦三至六层 , 
上海梅赛德斯-奔驰文化中心 , 上海市浦东新区世博大道1200号 , 
上海国际舞蹈中心 , 上海市长宁区虹桥路1650号(水城路地铁站) , 
兰心大戏院 , 卢湾区茂名南路57号 , 
1862时尚艺术中心 , 滨江大道1777号 , 
ET聚场（原上海共舞台） , 上海市黄浦区延安东路433号 , 
MAO LIVEHOUSE SHANGHAI , 上海黄浦区重庆南路308号3楼(近建国中路) , 
彩色熊猫剧场（世博源3区G层） , 上海世博源3区G层 , 
虹桥艺术中心剧院 , 长宁区天山路888号 , 
浦东新舞台 , 上海市浦东新区浦东大道143号 , 
